Class,Prior
AFH,0.007428040854224698
AFX/PDS,0.012999071494893221
ALMO/MPC,0.014856081708449397
AS,0.034354688950789226
ASPS,0.014856081708449397
CB,0.009285051067780872
CCS,0.0064995357474466105
CCSK,0.01021355617455896
CHORD,0.05478180129990715
CHORD (DD),0.007428040854224698
CSA (A),0.008356545961002786
CSA (B),0.008356545961002786
CSA (CC),0.0064995357474466105
CSA (IDH A),0.02692664809656453
CSA (IDH B),0.012070566388115135
CSA (MES),0.007428040854224698
CTRL (BLOOD),0.009285051067780872
CTRL (MUS),0.007428040854224698
CTRL (REA),0.009285051067780872
DFSP,0.034354688950789226
DSRCT,0.02414113277623027
DTFM,0.012070566388115135
EHE,0.008356545961002786
EMCS,0.009285051067780872
ES,0.016713091922005572
ESS (HG),0.008356545961002786
ESS (LG),0.014856081708449397
EWS,0.034354688950789226
FDY,0.011142061281337047
GCTB,0.008356545961002786
GIST,0.04456824512534819
IFS,0.012999071494893221
IMT,0.0064995357474466105
Kaposi,0.007428040854224698
LCH,0.01021355617455896
LGFMS,0.007428040854224698
LIPO,0.009285051067780872
LMO,0.0064995357474466105
LMS,0.016713091922005572
MEL (CUT),0.011142061281337047
MLS,0.028783658310120707
MO,0.007428040854224698
MP,0.0064995357474466105
MPNST,0.02414113277623027
MRT,0.015784586815227482
NFA,0.009285051067780872
NFB,0.008356545961002786
NFB (PLEX),0.0064995357474466105
OB,0.0064995357474466105
OFMT,0.012070566388115135
OS (HG),0.04085422469823584
RMS (ALV),0.033426183844011144
RMS (EMB),0.025998142989786442
RMS (MYOD1),0.0064995357474466105
SARC (MPNST-like),0.0064995357474466105
SARC (RMS-like),0.015784586815227482
SBRCT (BCOR),0.007428040854224698
SBRCT (CIC),0.01021355617455896
SCC (CUT),0.009285051067780872
SEF,0.0064995357474466105
SFT,0.02414113277623027
SWN,0.025069637883008356
SYSA,0.036211699164345405
USARC,0.02414113277623027
WDLS/DDLS,0.019498607242339833
